STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED,DEATHS FROM OLD AGE
200,7571,7133,2737,4396,438,62,376,7374,916,6458,0
201,7544,7113,2737,4376,431,58,373,7401,920,6481,0
202,7519,7095,2734,4361,424,55,369,7426,926,6500,0
203,7495,7074,2735,4339,421,53,368,7450,927,6523,0
204,7465,7051,2731,4320,414,54,360,7480,930,6550,0
205,7443,7025,2723,4302,418,59,359,7502,933,6569,0
206,7415,7005,2718,4287,410,59,351,7530,938,6592,0
207,7389,6977,2717,4260,412,54,358,7556,944,6612,0
208,7369,6940,2714,4226,429,54,375,7576,947,6629,0
209,7347,6928,2713,4215,419,52,367,7598,950,6648,0
210,7325,6911,2712,4199,414,48,366,7620,955,6665,0
211,7296,6902,2711,4191,394,47,347,7649,957,6692,0
212,7276,6882,2710,4172,394,44,350,7669,961,6708,0
213,7248,6865,2710,4155,383,40,343,7697,965,6732,0
214,7225,6844,2711,4133,381,34,347,7720,970,6750,0
215,7201,6829,2708,4121,372,34,338,7744,973,6771,0
216,7177,6810,2703,4107,367,38,329,7768,974,6794,0
217,7150,6790,2702,4088,360,35,325,7795,978,6817,0
218,7123,6775,2702,4073,348,33,315,7822,980,6842,0
219,7098,6756,2701,4055,342,30,312,7847,984,6863,0
220,7075,6742,2700,4042,333,29,304,7870,986,6884,0
221,7057,6731,2696,4035,326,30,296,7888,989,6899,0
222,7038,6715,2692,4023,323,33,290,7907,990,6917,0
223,7015,6700,2687,4013,315,33,282,7930,995,6935,0
224,6991,6675,2684,3991,316,34,282,7954,997,6957,0
225,6977,6665,2684,3981,312,33,279,7968,998,6970,0
226,6953,6643,2681,3962,310,35,275,7992,999,6993,0
227,6927,6629,2678,3951,298,35,263,8018,1002,7016,0
228,6912,6617,2676,3941,295,37,258,8033,1002,7031,0
229,6893,6604,2677,3927,289,34,255,8052,1004,7048,0
230,6875,6593,2676,3917,282,33,249,8070,1006,7064,0
231,6859,6575,2674,3901,284,32,252,8086,1009,7077,0
232,6841,6553,2671,3882,288,35,253,8104,1009,7095,0
233,6824,6525,2665,3860,299,36,263,8121,1014,7107,0
234,6803,6504,2664,3840,299,35,264,8142,1016,7126,0
235,6780,6480,2661,3819,300,34,266,8165,1020,7145,0
236,6763,6459,2659,3800,304,35,269,8182,1021,7161,0
237,6746,6440,2657,3783,306,37,269,8199,1021,7178,0
238,6733,6423,2656,3767,310,36,274,8212,1023,7189,0
239,6711,6405,2652,3753,306,37,269,8234,1026,7208,0
240,6693,6392,2651,3741,301,34,267,8252,1030,7222,0
241,6677,6379,2650,3729,298,30,268,8268,1035,7233,0
242,6662,6359,2650,3709,303,29,274,8283,1036,7247,0
243,6646,6342,2649,3693,304,28,276,8299,1038,7261,0
244,6628,6333,2648,3685,295,29,266,8317,1038,7279,0
245,6612,6319,2648,3671,293,28,265,8333,1039,7294,0
246,6599,6298,2643,3655,301,30,271,8346,1042,7304,0
247,6583,6288,2643,3645,295,27,268,8362,1045,7317,0
248,6568,6261,2642,3619,307,28,279,8377,1045,7332,0
249,6540,6244,2639,3605,296,28,268,8405,1048,7357,0
250,6521,6216,2637,3579,305,27,278,8424,1051,7373,0
251,6509,6184,2632,3552,325,30,295,8436,1053,7383,0
252,6484,6173,2627,3546,311,34,277,8461,1054,7407,0
253,6462,6154,2623,3531,308,32,276,8483,1060,7423,0
254,6447,6144,2623,3521,303,30,273,8498,1062,7436,0
255,6425,6136,2625,3511,289,26,263,8520,1064,7456,0
256,6409,6125,2624,3501,284,26,258,8536,1065,7471,0
