STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED,DEATHS FROM OLD AGE
205,14543,14517,7450,7067,26,6,20,449,118,331,0
206,14543,14518,7450,7068,25,6,19,449,118,331,0
207,14542,14519,7451,7068,23,5,18,450,118,332,0
208,14541,14519,7451,7068,22,5,17,451,118,333,0
209,14540,14519,7451,7068,21,4,17,452,119,333,0
210,14539,14518,7451,7067,21,4,17,453,119,334,0
211,14538,14517,7450,7067,21,5,16,454,119,335,0
212,14536,14516,7450,7066,20,5,15,456,119,337,0
213,14535,14515,7450,7065,20,5,15,457,119,338,0
214,14534,14513,7450,7063,21,5,16,458,119,339,0
215,14531,14513,7450,7063,18,4,14,461,120,341,0
216,14528,14512,7450,7062,16,3,13,464,121,343,0
217,14525,14511,7450,7061,14,2,12,467,122,345,0
218,14524,14511,7450,7061,13,1,12,468,123,345,0
219,14523,14510,7449,7061,13,2,11,469,123,346,0
220,14522,14510,7449,7061,12,2,10,470,123,347,0
221,14521,14510,7449,7061,11,2,9,471,123,348,0
222,14520,14510,7449,7061,10,2,8,472,123,349,0
223,14518,14510,7449,7061,8,2,6,474,123,351,0
224,14518,14508,7448,7060,10,3,7,474,123,351,0
225,14518,14508,7448,7060,10,3,7,474,123,351,0
226,14518,14507,7448,7059,11,3,8,474,123,351,0
227,14517,14507,7448,7059,10,2,8,475,124,351,0
228,14516,14507,7448,7059,9,1,8,476,125,351,0
229,14515,14507,7448,7059,8,1,7,477,125,352,0
230,14515,14507,7448,7059,8,1,7,477,125,352,0
231,14512,14507,7448,7059,5,0,5,480,126,354,0
232,14510,14507,7448,7059,3,0,3,482,126,356,0
233,14510,14507,7448,7059,3,0,3,482,126,356,0
234,14509,14507,7448,7059,2,0,2,483,126,357,0
235,14508,14507,7448,7059,1,0,1,484,126,358,0
236,14508,14506,7448,7058,2,0,2,484,126,358,0
237,14508,14506,7448,7058,2,0,2,484,126,358,0
238,14508,14506,7448,7058,2,0,2,484,126,358,0
239,14508,14506,7448,7058,2,0,2,484,126,358,0
240,14507,14506,7448,7058,1,0,1,485,126,359,0
241,14507,14506,7448,7058,1,0,1,485,126,359,0
242,14507,14506,7448,7058,1,0,1,485,126,359,0
243,14507,14506,7448,7058,1,0,1,485,126,359,0
244,14507,14505,7448,7057,2,0,2,485,126,359,0
245,14507,14505,7448,7057,2,0,2,485,126,359,0
246,14507,14505,7448,7057,2,0,2,485,126,359,0
247,14507,14505,7448,7057,2,0,2,485,126,359,0
248,14507,14505,7448,7057,2,0,2,485,126,359,0
249,14507,14504,7448,7056,3,0,3,485,126,359,0
250,14507,14503,7448,7055,4,0,4,485,126,359,0
251,14507,14502,7447,7055,5,1,4,485,126,359,0
252,14507,14502,7447,7055,5,1,4,485,126,359,0
253,14506,14502,7447,7055,4,1,3,486,126,360,0
254,14506,14501,7446,7055,5,2,3,486,126,360,0
255,14505,14501,7446,7055,4,2,2,487,126,361,0
256,14505,14501,7446,7055,4,2,2,487,126,361,0
257,14505,14500,7446,7054,5,2,3,487,126,361,0
258,14504,14500,7446,7054,4,2,2,488,126,362,0
259,14504,14501,7447,7054,3,1,2,488,126,362,0
260,14504,14501,7447,7054,3,1,2,488,126,362,0
261,14503,14501,7447,7054,2,0,2,489,127,362,0
262,14503,14501,7447,7054,2,0,2,489,127,362,0
263,14503,14501,7447,7054,2,0,2,489,127,362,0
264,14503,14501,7447,7054,2,0,2,489,127,362,0
265,14502,14501,7447,7054,1,0,1,490,127,363,0
266,14502,14501,7447,7054,1,0,1,490,127,363,0
267,14502,14501,7447,7054,1,0,1,490,127,363,0
268,14502,14501,7447,7054,1,0,1,490,127,363,0
269,14502,14501,7447,7054,1,0,1,490,127,363,0
270,14502,14501,7447,7054,1,0,1,490,127,363,0
271,14502,14500,7447,7053,2,0,2,490,127,363,0
272,14502,14500,7447,7053,2,0,2,490,127,363,0
273,14502,14500,7447,7053,2,0,2,490,127,363,0
274,14501,14500,7447,7053,1,0,1,491,127,364,0
275,14501,14500,7447,7053,1,0,1,491,127,364,0
276,14501,14500,7447,7053,1,0,1,491,127,364,0
277,14501,14500,7447,7053,1,0,1,491,127,364,0
278,14501,14500,7447,7053,1,0,1,491,127,364,0
279,14501,14498,7446,7052,3,1,2,491,127,364,0
280,14501,14498,7447,7051,3,0,3,491,127,364,0
281,14501,14498,7447,7051,3,0,3,491,127,364,0
282,14501,14497,7447,7050,4,0,4,491,127,364,0
283,14501,14496,7446,7050,5,1,4,491,127,364,0
284,14501,14495,7446,7049,6,1,5,491,127,364,0
285,14501,14494,7446,7048,7,1,6,491,127,364,0
286,14500,14495,7446,7049,5,0,5,492,128,364,0
287,14500,14495,7446,7049,5,0,5,492,128,364,0
288,14500,14495,7446,7049,5,0,5,492,128,364,0
289,14499,14495,7446,7049,4,0,4,493,128,365,0
290,14499,14495,7446,7049,4,0,4,493,128,365,0
291,14499,14495,7446,7049,4,0,4,493,128,365,0
292,14499,14495,7446,7049,4,0,4,493,128,365,0
293,14498,14494,7446,7048,4,0,4,494,128,366,0
294,14498,14494,7446,7048,4,0,4,494,128,366,0
295,14498,14494,7446,7048,4,0,4,494,128,366,0
296,14498,14494,7446,7048,4,0,4,494,128,366,0
297,14498,14493,7446,7047,5,0,5,494,128,366,0
298,14497,14493,7446,7047,4,0,4,495,128,367,0
299,14497,14493,7446,7047,4,0,4,495,128,367,0
300,14497,14493,7446,7047,4,0,4,495,128,367,0
301,14497,14492,7446,7046,5,0,5,495,128,367,0
302,14496,14492,7446,7046,4,0,4,496,128,368,0
303,14496,14492,7446,7046,4,0,4,496,128,368,0
304,14496,14492,7446,7046,4,0,4,496,128,368,0
305,14496,14492,7446,7046,4,0,4,496,128,368,0
306,14496,14492,7446,7046,4,0,4,496,128,368,0
307,14496,14492,7446,7046,4,0,4,496,128,368,0
308,14494,14492,7446,7046,2,0,2,498,128,370,0
309,14494,14492,7446,7046,2,0,2,498,128,370,0
310,14493,14492,7446,7046,1,0,1,499,128,371,0
311,14493,14492,7446,7046,1,0,1,499,128,371,0
312,14493,14492,7446,7046,1,0,1,499,128,371,0
313,14493,14492,7446,7046,1,0,1,499,128,371,0
314,14493,14492,7446,7046,1,0,1,499,128,371,0
315,14493,14492,7446,7046,1,0,1,499,128,371,0
316,14493,14492,7446,7046,1,0,1,499,128,371,0
317,14493,14492,7446,7046,1,0,1,499,128,371,0
318,14493,14492,7446,7046,1,0,1,499,128,371,0
319,14493,14492,7446,7046,1,0,1,499,128,371,0
320,14492,14492,7446,7046,0,0,0,500,128,372,0
